pc,evr,cumulative
54,0.003205938584389735,0.9474777838279582
55,0.002949207104680198,0.9504269909326384
56,0.0028241761197875387,0.953251167052426
57,0.0027423746944985434,0.9559935417469245
58,0.0026244394782421443,0.9586179812251666
59,0.002395865239406116,0.9610138464645728
60,0.002317354290338756,0.9633312007549115
61,0.002211237556077729,0.9655424383109893
62,0.002043887568795849,0.9675863258797851
63,0.001978009800479486,0.9695643356802646
64,0.0019152657843402013,0.9714796014646048
65,0.0018620827534771589,0.973341684218082
66,0.0017558797749445767,0.9750975639930266
67,0.0016347315092869585,0.9767322955023136
68,0.00150305470207294,0.9782353502043865
69,0.001465772101314982,0.9797011223057014
70,0.0013251355822382572,0.9810262578879396
71,0.0013116515349970942,0.9823379094229368
72,0.00121762087118385,0.9835555302941206
73,0.0011357493246792756,0.9846912796187999
74,0.0010467094375614919,0.9857379890563613
75,0.000997384341682646,0.986735373398044
76,0.0009827991844288606,0.9877181725824729
77,0.000954261852354683,0.9886724344348276
78,0.000949266868573246,0.9896217013034008
79,0.0008184090179738086,0.9904401103213746
80,0.0007634566039229631,0.9912035669252975
81,0.0007080594651000283,0.9919116263903975
82,0.0006933491799610784,0.9926049755703586
83,0.0006645904927075509,0.9932695660630662
84,0.0006138944039364625,0.9938834604670026
85,0.000579331384419777,0.9944627918514224
86,0.0005215456967556031,0.9949843375481779
87,0.00048081050209941345,0.9954651480502773
88,0.00044951769070734784,0.9959146657409846
89,0.0004489844002231981,0.9963636501412079
90,0.000415997065708577,0.9967796472069165
91,0.0003553290767589732,0.9971349762836754
92,0.000327016702318399,0.9974619929859938
93,0.000288146297861773,0.9977501392838556
94,0.00023803783310497324,0.9979881771169605
95,0.00020527024774028916,0.9981934473647008
96,0.00020346658477526428,0.998396913949476
97,0.00018650585939021077,0.9985834198088662
98,0.00017762014349312534,0.9987610399523593
99,0.00016930174254378244,0.9989303416949031
100,0.00015193654916217098,0.9990822782440653
101,0.00013775924933320878,0.9992200374933985
102,0.00012697385726697185,0.9993470113506655
103,0.00011187140038460434,0.9994588827510501
104,9.182540183637709e-05,0.9995507081528865
105,8.889946057914862e-05,0.9996396076134656
106,7.853135641610739e-05,0.9997181389698817
107,5.619158469904602e-05,0.9997743305545808
108,5.0728341135217974e-05,0.9998250588957159
109,4.611954015230475e-05,0.9998711784358683
110,3.7438025395986146e-05,0.9999086164612643
111,3.389596771360957e-05,0.9999425124289779
112,2.5426986508490376e-05,0.9999679394154865
113,1.2817493024833349e-05,0.9999807569085113
114,6.934239118267768e-06,0.9999876911476295
115,4.903029032608876e-06,0.9999925941766621
116,2.9865748148576876e-06,0.999995580751477
117,1.759370983148907e-06,0.9999973401224601
118,9.249579221703058e-07,0.9999982650803823
119,7.569785590033111e-07,0.9999990220589413
120,4.4738508695831815e-07,0.9999994694440283
121,3.076796277082758e-07,0.999999777123656
122,2.2287634363306553e-07,0.9999999999999996
123,2.548588841190139e-32,0.9999999999999996
124,1.693786583522696e-32,0.9999999999999996
125,6.057092004796821e-34,0.9999999999999996
126,6.057092004796821e-34,0.9999999999999996
127,6.057092004796821e-34,0.9999999999999996
128,6.057092004796821e-34,0.9999999999999996
129,6.057092004796821e-34,0.9999999999999996
130,6.057092004796821e-34,0.9999999999999996
131,6.057092004796821e-34,0.9999999999999996
132,6.057092004796821e-34,0.9999999999999996
133,6.057092004796821e-34,0.9999999999999996
134,6.057092004796821e-34,0.9999999999999996
135,6.057092004796821e-34,0.9999999999999996
136,1.732058569694594e-34,0.9999999999999996
