kind,L,H,ic,ci_lo,ci_hi,ci_excl0,n_indep,n,wr,mean_ret,tier,full_ic,ic_excl0
mom_ic,168.0,120,0.20728131401034935,-0.09785171253034862,0.40380203236580553,False,30.0,,,,,,
mom_ic,168.0,168,0.2658927656426457,-0.0755960796990644,0.4602799114589255,False,21.0,,,,,,
long_payoff,24.0,4,,,,,,1924.0,0.487006237006237,-0.000264819466188767,,,
long_payoff,24.0,8,,,,,,1920.0,0.48333333333333334,-0.0005259761597677508,,,
long_payoff,24.0,12,,,,,,1916.0,0.482776617954071,-0.0006545404614313072,,,
long_payoff,24.0,24,,,,,,1904.0,0.4800420168067227,-0.001157341921906483,,,
long_payoff,24.0,48,,,,,,1888.0,0.4766949152542373,-0.004371703012749093,,,
long_payoff,24.0,72,,,,,,1888.0,0.4422669491525424,-0.00792437613002357,,,
long_payoff,24.0,120,,,,,,1885.0,0.46312997347480106,-0.008897471094463257,,,
long_payoff,24.0,168,,,,,,1885.0,0.4679045092838196,-0.01031595114165641,,,
long_payoff,48.0,4,,,,,,1927.0,0.49091852620653864,2.8710434851929592e-05,,,
long_payoff,48.0,8,,,,,,1923.0,0.4877795111804472,5.082546965895484e-06,,,
long_payoff,48.0,12,,,,,,1919.0,0.48514851485148514,-8.676777248180359e-06,,,
long_payoff,48.0,24,,,,,,1907.0,0.46145778710015734,-0.001625586915761675,,,
long_payoff,48.0,48,,,,,,1904.0,0.4564075630252101,-0.00456343757012216,,,
long_payoff,48.0,72,,,,,,1904.0,0.43014705882352944,-0.007373591230926365,,,
long_payoff,48.0,120,,,,,,1904.0,0.48214285714285715,-0.007273834950338585,,,
long_payoff,48.0,168,,,,,,1904.0,0.5026260504201681,-0.007003105492485669,,,
long_payoff,72.0,4,,,,,,1861.0,0.4750134336378291,-0.0003718876189022276,,,
long_payoff,72.0,8,,,,,,1857.0,0.46903607969843836,-0.0007846161680138392,,,
long_payoff,72.0,12,,,,,,1855.0,0.45336927223719675,-0.0010741515551355928,,,
long_payoff,72.0,24,,,,,,1854.0,0.4266450916936354,-0.0026135520767441986,,,
long_payoff,72.0,48,,,,,,1853.0,0.4506206152185645,-0.005045176824254405,,,
long_payoff,72.0,72,,,,,,1853.0,0.44036697247706424,-0.005549465167777502,,,
long_payoff,72.0,120,,,,,,1853.0,0.478143550998381,-0.00460273081540303,,,
long_payoff,72.0,168,,,,,,1853.0,0.5062061521856449,-0.0044732525047540906,,,
v7_hold,,4,,,,,,3696.0,0.4788961038961039,-0.00036978269417949723,ALL,0.15337965129222536,True
v7_hold,,8,,,,,,3696.0,0.476461038961039,-0.0007328095765251327,ALL,0.13790709456497807,True
v7_hold,,12,,,,,,3695.0,0.47388362652232746,-0.001095729715962966,ALL,0.0915471982192645,True
v7_hold,,24,,,,,,3683.0,0.46592451805593266,-0.0022851220112834482,ALL,0.06588717281335599,False
v7_hold,,48,,,,,,3659.0,0.47034708936867997,-0.004729775611358549,ALL,-0.007283617964369572,False
v7_hold,,72,,,,,,3635.0,0.44951856946354884,-0.00718127833346686,ALL,-0.00925796312555532,False
v7_hold,,120,,,,,,3587.0,0.4231948703652077,-0.01144766754079926,ALL,-0.0574799486482491,False
v7_hold,,168,,,,,,3539.0,0.44927945747386266,-0.01466434637602143,ALL,-0.07325208416760051,False
v7_hold,,4,,,,,,555.0,0.6468468468468469,0.0021100714711615536,Mod+ p85,0.15337965129222536,True
v7_hold,,8,,,,,,555.0,0.6018018018018018,0.0027913426274000595,Mod+ p85,0.13790709456497807,True
v7_hold,,12,,,,,,555.0,0.5603603603603604,0.002170046056191121,Mod+ p85,0.0915471982192645,True
v7_hold,,24,,,,,,555.0,0.5801801801801801,0.0014970409343461279,Mod+ p85,0.06588717281335599,False
v7_hold,,48,,,,,,555.0,0.5243243243243243,-0.00021974483225654505,Mod+ p85,-0.007283617964369572,False
v7_hold,,72,,,,,,555.0,0.4954954954954955,-0.0034552594448153417,Mod+ p85,-0.00925796312555532,False
v7_hold,,120,,,,,,553.0,0.3833634719710669,-0.010758612351874773,Mod+ p85,-0.0574799486482491,False
v7_hold,,168,,,,,,551.0,0.4646098003629764,-0.01834601091488652,Mod+ p85,-0.07325208416760051,False
v7_hold,,4,,,,,,185.0,0.7621621621621621,0.004038598569327177,Strong p95,0.15337965129222536,True
v7_hold,,8,,,,,,185.0,0.6810810810810811,0.005742912767121964,Strong p95,0.13790709456497807,True
v7_hold,,12,,,,,,185.0,0.6,0.005405655386387513,Strong p95,0.0915471982192645,True
v7_hold,,24,,,,,,185.0,0.654054054054054,0.00511997307709329,Strong p95,0.06588717281335599,False
v7_hold,,48,,,,,,185.0,0.5135135135135135,-0.00015247182824289256,Strong p95,-0.007283617964369572,False
v7_hold,,72,,,,,,185.0,0.5297297297297298,-0.006794546419654054,Strong p95,-0.00925796312555532,False
v7_hold,,120,,,,,,185.0,0.4,-0.009254335336133322,Strong p95,-0.0574799486482491,False
v7_hold,,168,,,,,,185.0,0.43783783783783786,-0.02961513166608481,Strong p95,-0.07325208416760051,False
