sym,side,t_sweep,day,utc_hour,atr,r,pierce_atr,poc_m5u,vwap_m5u,poc_m5c,vwap_m5c,poc_m1u,vwap_m1u,poc_m1c,vwap_m1c,trend_24h,er_24h,rv_24h,rv_1h
ETH,sellside,1778923200,2026-05-16,9,13.359568322066147,-0.07260713644449425,0.9281737030019804,3.670338384734444,3.4753519569980673,1.2703383847344525,3.4753519569980673,3.620338384734443,3.268725457600095,1.5203383847344587,3.268725457600095,-4.583980449341989,0.4529585798816558,0.0046045174856607475,0.0031266674926145703
ETH,sellside,1778923200,2026-05-16,9,13.359568322066147,-0.07260713644449425,0.9790735512311087,3.619438536505316,3.4244521087689392,1.2194385365053242,3.4244521087689392,3.5694385365053147,3.217825609370967,1.4694385365053304,3.217825609370967,-4.583980449341989,0.4529585798816558,0.0046045174856607475,0.0031266674926145703
ETH,sellside,1779061500,2026-05-17,23,14.459600999920736,0.8070762118584077,4.552684406738526,1.829320256705159,1.8537238976055683,1.829320256705159,1.8537238976055683,1.829320256705159,0.5412639124395787,-4.270679743294848,0.5412639124395787,-0.07469085765270062,0.012413793103447309,0.0021830056623791485,0.0044627334923342515
ETH,sellside,1779061500,2026-05-17,23,14.459600999920736,0.8070762118584077,4.915073382757225,1.4669312806864596,1.491334921586869,1.4669312806864596,1.491334921586869,1.4669312806864596,0.1788749364208794,-4.633068719313547,0.1788749364208794,-0.07469085765270062,0.012413793103447309,0.0021830056623791485,0.0044627334923342515
ETH,sellside,1779060000,2026-05-17,23,14.459600999920736,3.6605436069978685,0.0677750374996786,1.0914022463770343,1.1564794584908118,1.0914022463770343,1.1564794584908118,1.0914022463770343,1.1272048871138376,1.0914022463770343,1.1272048871138376,-0.07469085765270062,0.012413793103447309,0.0021830056623791485,0.0038359573201529164
ETH,sellside,1779122100,2026-05-18,16,16.82672714070794,-0.587755415375671,0.05467492236053256,1.7298841102200115,2.1222998967555817,1.7798841102200051,2.1222998967555817,1.7298841102200115,2.073023155902842,0.22988411022001592,2.073023155902842,-4.458977635554831,0.3756571371351334,0.006398624909507489,0.007551432065316059
ETH,buyside,1779290400,2026-05-20,15,13.550147953391743,-0.5047915361166239,0.1512898609706358,1.219764395550089,1.8337877016179425,0.9697643955500789,1.8337877016179425,1.0697643955500828,1.7698384974576968,1.269764395550091,1.7698384974576968,1.8494263004506284,0.20387243735763116,0.003239197453486301,0.006835491318031363
ETH,buyside,1779326400,2026-05-21,1,13.254145060722093,0.09053771439067804,0.019616504784658914,1.884649160084893,2.041168989950998,1.9346491600848799,2.041168989950998,1.884649160084893,1.9934706950496306,2.0846491600848753,1.9934706950496306,2.0853853547981336,0.22062579821200373,0.0032735348393979633,0.003089725985656336
ETH,sellside,1779475800,2026-05-22,18,12.543887036403403,2.5247357464309625,0.7940122524297958,2.8536302864755,2.677172907347647,2.803630286475479,2.677172907347647,2.9036302864754853,2.4746509698481147,2.9036302864754853,2.4746509698481147,-0.5795651681892413,0.06899497010534268,0.002784496541547748,0.0033407040534222717
ETH,sellside,1779475800,2026-05-22,18,12.543887036403403,2.5247357464309625,1.645422980938913,2.002219557966383,1.8257621788385296,1.952219557966362,1.8257621788385296,2.0522195579663682,1.6232402413389977,2.0522195579663682,1.6232402413389977,-0.5795651681892413,0.06899497010534268,0.002784496541547748,0.0033407040534222717
