signal_ts,entry_ts,exit_ts,direction,tier,exit_reason,hold_h,stop_pct,size_frac,cap_bound,price_ret_pct,equity_ret_pct,equity_after,regime
2025-12-26 00:00:00,2025-12-26 01:00:00,2025-12-26 03:00:00,UP,Strong,opp_signal,2.0,1.3340520838946708,1.0,True,2.374018767999786,2.2940187679997948,1140.2503082967762,CHOPPY
2025-12-26 03:00:00,2025-12-26 04:00:00,2025-12-26 17:00:00,DOWN,Strong,opp_signal,13.0,1.728972872091221,1.0,True,2.2236311914248574,2.1436311914248662,1164.693069565744,BULL
2025-12-26 17:00:00,2025-12-26 18:00:00,2025-12-26 20:00:00,UP,Moderate,opp_signal,2.0,1.9483657064645328,1.0,True,0.18925746232321128,0.10925746232322009,1165.9655836574061,BEAR
2025-12-26 21:00:00,2025-12-26 22:00:00,2025-12-29 02:00:00,DOWN,Moderate,trail_stop,52.0,1.7258981505158772,1.0,True,-1.4671745204243303,-1.5471745204243326,1147.9260612301418,CHOPPY
2025-12-29 03:00:00,2025-12-29 04:00:00,2025-12-29 14:00:00,DOWN,Moderate,opp_signal,10.0,1.2995940374768316,1.0,True,3.0382444514743256,2.9582444514743234,1181.8845202435102,CHOPPY
2025-12-29 14:00:00,2025-12-29 15:00:00,2025-12-29 20:00:00,UP,Strong,opp_signal,5.0,1.8333536365105998,1.0,True,-0.08135011441647855,-0.16135011441648084,1179.9775482178266,CHOPPY
2025-12-29 22:00:00,2025-12-29 23:00:00,2025-12-30 03:00:00,DOWN,Moderate,opp_signal,4.0,1.697919983568324,1.0,True,0.27978483023370915,0.19978483023370686,1182.3349643593294,BEAR
2025-12-30 04:00:00,2025-12-30 05:00:00,2025-12-30 09:00:00,DOWN,Moderate,opp_signal,4.0,1.4927114364627485,1.0,True,-0.6473600795763534,-0.7273600795763557,1173.7351318217063,CHOPPY
2025-12-30 10:00:00,2025-12-30 11:00:00,2025-12-30 13:00:00,UP,Moderate,opp_signal,2.0,1.4021572683856354,1.0,True,0.08986023889174799,0.0098602388917568,1173.8508649096605,CHOPPY
2025-12-30 13:00:00,2025-12-30 14:00:00,2025-12-30 15:00:00,DOWN,Strong,trail_stop,1.0,1.2778252193668904,1.0,True,-0.9579656532722192,-1.0379656532722215,1161.6666961112592,CHOPPY
2025-12-30 15:00:00,2025-12-30 16:00:00,2025-12-30 17:00:00,DOWN,Moderate,opp_signal,1.0,1.5914960973932746,1.0,True,0.30123596667520625,0.22123596667520395,1164.2367206559447,CHOPPY
2025-12-30 17:00:00,2025-12-30 18:00:00,2025-12-31 15:00:00,DOWN,Moderate,opp_signal,21.0,1.7620515230553118,1.0,True,-0.1281554892890613,-0.20815548928906358,1161.8132980135804,CHOPPY
2025-12-31 15:00:00,2025-12-31 16:00:00,2026-01-02 14:00:00,UP,Moderate,trail_stop,46.0,1.4005325841969236,1.0,True,0.8643094683801866,0.7843094683801954,1170.9255097148011,CHOPPY
2026-01-03 20:00:00,2026-01-03 21:00:00,2026-01-04 00:00:00,DOWN,Moderate,trail_stop,3.0,1.0602817879792086,1.0,True,-1.0298389049164136,-1.109838904916416,1157.9301228603954,CHOPPY
2026-01-04 00:00:00,2026-01-04 01:00:00,2026-01-05 00:00:00,DOWN,Moderate,trail_stop,23.0,1.197020943550547,1.0,True,-0.6370076250253209,-0.7170076250253232,1149.6276755870213,CHOPPY
2026-01-05 02:00:00,2026-01-05 03:00:00,2026-01-05 14:00:00,DOWN,Moderate,trail_stop,11.0,1.3291591506639095,1.0,True,-0.3738982255996781,-0.4538982255996804,1144.409535966529,CHOPPY
2026-01-05 15:00:00,2026-01-05 16:00:00,2026-01-05 20:00:00,DOWN,Moderate,trail_stop,4.0,1.6090249000708157,1.0,True,-0.8646159543839183,-0.9446159543839205,1133.599260906298,CHOPPY
2026-01-05 20:00:00,2026-01-05 21:00:00,2026-01-06 21:00:00,DOWN,Moderate,trail_stop,24.0,1.795955043282455,1.0,True,1.3082295505282948,1.2282295505283036,1147.5224620133197,CHOPPY
2026-01-07 01:00:00,2026-01-07 02:00:00,2026-01-07 19:00:00,DOWN,Moderate,opp_signal,17.0,2.2094199442147344,0.9052149661439007,False,1.675439583748184,1.444215788787262,1164.0951625895964,BEAR
2026-01-11 20:00:00,2026-01-11 21:00:00,2026-01-12 00:00:00,DOWN,Moderate,trail_stop,3.0,0.7812001974798547,1.0,True,-0.342179402609033,-0.4221794026090353,1159.180592586375,CHOPPY
2026-01-12 02:00:00,2026-01-12 03:00:00,2026-01-12 15:00:00,DOWN,Moderate,opp_signal,12.0,1.2574383545833008,1.0,True,1.4279235489666808,1.3479235489666896,1174.8054607688985,CHOPPY
2026-01-13 08:00:00,2026-01-13 09:00:00,2026-01-13 15:00:00,DOWN,Moderate,trail_stop,6.0,1.5778737821785473,1.0,True,-1.1034751375412322,-1.1834751375412345,1160.9019302262218,CHOPPY
2026-01-13 17:00:00,2026-01-13 18:00:00,2026-01-13 22:00:00,DOWN,Moderate,trail_stop,4.0,1.886546526694571,1.0,True,-1.8309614616933034,-1.9109614616933057,1138.717541731545,CHOPPY
2026-01-14 03:00:00,2026-01-14 04:00:00,2026-01-14 14:00:00,DOWN,Moderate,trail_stop,10.0,2.145228914096272,0.9323014373235534,False,-0.8362944590779353,-0.8542626412099685,1128.9899031836278,BULL
2026-01-16 04:00:00,2026-01-16 05:00:00,2026-01-19 05:00:00,DOWN,Strong,time_cap,72.0,1.7231057704921033,1.0,True,2.9002429819790065,2.8202429819790042,1160.8301616954157,CHOPPY
2026-01-20 05:00:00,2026-01-20 06:00:00,2026-01-20 13:00:00,UP,Strong,opp_signal,7.0,1.3816941552359516,1.0,True,-0.3822465528479646,-0.4622465528479669,1155.4642642885592,CHOPPY
2026-01-20 13:00:00,2026-01-20 14:00:00,2026-01-20 15:00:00,UP,Moderate,trail_stop,1.0,1.3839135848611255,1.0,True,-0.9155846327169037,-0.995584632716906,1143.960639636767,CHOPPY
2026-01-20 16:00:00,2026-01-20 17:00:00,2026-01-20 22:00:00,UP,Strong,trail_stop,5.0,1.7850886800564907,1.0,True,-1.4074195333180661,-1.4874195333180684,1126.9451456293393,CHOPPY
2026-01-20 22:00:00,2026-01-20 23:00:00,2026-01-21 07:00:00,UP,Strong,opp_signal,8.0,2.184586378923897,0.9155051131396222,False,1.299326656033939,1.1162997881865033,1139.5252319029778,CHOPPY
2026-01-21 10:00:00,2026-01-21 11:00:00,2026-01-21 12:00:00,DOWN,Moderate,opp_signal,1.0,1.8594235533830228,1.0,True,0.49752917014197484,0.41752917014197255,1144.2830821473008,CHOPPY
2026-01-21 12:00:00,2026-01-21 13:00:00,2026-01-21 16:00:00,UP,Strong,trail_stop,3.0,1.9487123636068224,1.0,True,0.20141306977254914,0.12141306977255795,1145.6723913642238,CHOPPY
2026-01-21 16:00:00,2026-01-21 17:00:00,2026-01-22 02:00:00,UP,Moderate,opp_signal,9.0,2.74272943664052,0.7292006179252355,False,2.8651600060756843,2.030940397451042,1168.9403147828832,BEAR
2026-01-22 02:00:00,2026-01-22 03:00:00,2026-01-22 16:00:00,DOWN,Moderate,opp_signal,13.0,2.6659184950339743,0.7502104823255341,False,1.0547051842063393,0.731234046368634,1177.4880043463043,BULL
2026-01-22 16:00:00,2026-01-22 17:00:00,2026-01-22 19:00:00,DOWN,Strong,opp_signal,2.0,1.9696174201421532,1.0,True,-0.3241321740224734,-0.4041321740224757,1172.7293964754856,BULL
2026-01-22 19:00:00,2026-01-22 20:00:00,2026-01-23 02:00:00,UP,Strong,opp_signal,6.0,1.9948254806161307,1.0,True,0.17931012962928428,0.09931012962929309,1173.8940355593263,CHOPPY
2026-01-23 02:00:00,2026-01-23 03:00:00,2026-01-23 10:00:00,DOWN,Strong,opp_signal,7.0,1.721739544793471,1.0,True,0.7491242733896342,0.6691242733896319,1181.748845495127,CHOPPY
2026-01-23 10:00:00,2026-01-23 11:00:00,2026-01-23 16:00:00,UP,Strong,opp_signal,5.0,1.5238970175548734,1.0,True,0.7803038983740018,0.7003038983740106,1190.0246787291192,CHOPPY
2026-01-23 16:00:00,2026-01-23 17:00:00,2026-01-23 21:00:00,DOWN,Strong,opp_signal,4.0,1.8746193017312511,1.0,True,0.6911703158668403,0.611170315866838,1197.2977563170011,CHOPPY
2026-01-23 21:00:00,2026-01-23 22:00:00,2026-01-25 01:00:00,UP,Strong,opp_signal,27.0,2.15091628968561,0.9298362793525224,False,-0.028555047412581747,-0.10093842139105025,1196.0892228624243,CHOPPY
2026-01-25 03:00:00,2026-01-25 04:00:00,2026-01-25 08:00:00,UP,Moderate,trail_stop,4.0,0.7808605061253717,1.0,True,-0.6258897458914503,-0.7058897458914526,1187.6461516865256,CHOPPY
2026-01-25 08:00:00,2026-01-25 09:00:00,2026-01-25 16:00:00,UP,Strong,trail_stop,7.0,0.8838094021391834,1.0,True,-0.09949034450044136,-0.17949034450044365,1185.5144415174173,CHOPPY
2026-01-25 19:00:00,2026-01-25 20:00:00,2026-01-26 16:00:00,UP,Moderate,trail_stop,20.0,1.5935561421887023,1.0,True,1.1530509358155694,1.0730509358155782,1198.2356153263488,CHOPPY
2026-01-26 16:00:00,2026-01-26 17:00:00,2026-01-27 20:00:00,UP,Moderate,opp_signal,27.0,2.0167400188328686,0.9916994661302173,False,0.911857226862467,0.8249523677760662,1208.1204884065196,CHOPPY
2026-01-27 23:00:00,2026-01-28 00:00:00,2026-01-28 12:00:00,DOWN,Moderate,opp_signal,12.0,1.9718421949320781,1.0,True,-0.9407182688362159,-1.0207182688362182,1195.7889818718008,BULL
2026-01-28 12:00:00,2026-01-28 13:00:00,2026-01-28 15:00:00,UP,Moderate,trail_stop,2.0,1.6331006770121257,1.0,True,-1.0889391027121165,-1.1689391027121188,1181.8109368767782,BULL
2026-01-28 15:00:00,2026-01-28 16:00:00,2026-01-28 21:00:00,UP,Strong,trail_stop,5.0,1.839894713180675,1.0,True,-0.5561936471564888,-0.6361936471564911,1174.2923307749675,BULL
2026-01-28 21:00:00,2026-01-28 22:00:00,2026-01-29 13:00:00,UP,Moderate,opp_signal,15.0,2.198772340581711,0.9095984896148352,False,-1.4496013176769629,-1.3913230482718308,1157.9541309228068,CHOPPY
2026-01-29 13:00:00,2026-01-29 14:00:00,2026-01-29 16:00:00,DOWN,Moderate,opp_signal,2.0,1.5394227287822568,1.0,True,3.5347601603476164,3.4547601603476252,1197.9586689130276,CHOPPY
2026-01-29 16:00:00,2026-01-29 17:00:00,2026-01-29 18:00:00,UP,Moderate,trail_stop,1.0,2.4220994939555247,0.8257299111746252,False,-1.9929094054541352,-1.711663299238686,1177.453650037195,BEAR
2026-01-29 18:00:00,2026-01-29 19:00:00,2026-01-30 01:00:00,UP,Strong,trail_stop,6.0,2.8469212046050845,0.7025132963865902,False,-1.3379471775104457,-0.9961267457749279,1165.7247193100714,BEAR
2026-01-30 01:00:00,2026-01-30 02:00:00,2026-01-31 14:00:00,UP,Moderate,trail_stop,36.0,3.1665533862729385,0.6316015414962001,False,-0.5410813459792219,-0.3922759355150074,1161.151861761868,BEAR
2026-01-31 21:00:00,2026-01-31 22:00:00,2026-02-01 23:00:00,UP,Moderate,trail_stop,25.0,4.228694113663994,0.4729592508328961,False,-2.766376615820476,-1.3462201518067318,1145.5202014057509,BEAR
2026-02-03 04:00:00,2026-02-03 05:00:00,2026-02-03 20:00:00,DOWN,Moderate,trail_stop,15.0,3.1966062939311612,0.6256635369194672,False,4.266243231571121,2.619179746669964,1175.5234345149834,BULL
2026-02-03 20:00:00,2026-02-03 21:00:00,2026-02-04 14:00:00,UP,Moderate,opp_signal,17.0,4.504163088896332,0.4440336552045378,False,-2.0849933077680793,-0.9613298919416202,1164.2227763522121,BEAR
2026-02-04 15:00:00,2026-02-04 16:00:00,2026-02-05 17:00:00,DOWN,Moderate,opp_signal,25.0,3.6355634965403616,0.5501210477834372,False,7.8862995398545355,4.294409682176137,1214.2192719819814,BEAR
2026-02-05 20:00:00,2026-02-05 21:00:00,2026-02-06 00:00:00,UP,Moderate,trail_stop,3.0,6.875565167074986,0.29088517836721245,False,-5.126413390394191,-1.5144684877182568,1195.8303037360122,BEAR
2026-02-06 02:00:00,2026-02-06 03:00:00,2026-02-09 03:00:00,UP,Moderate,time_cap,72.0,8.26759211411479,0.2419084023975389,False,9.72094784745272,2.3322262913752834,1223.7197724799764,BEAR
2026-02-09 03:00:00,2026-02-09 04:00:00,2026-02-09 08:00:00,UP,Moderate,opp_signal,4.0,3.3340908909832483,0.5998636706062279,False,-1.2295530505207042,-0.7855532997389281,1214.1068014277023,BULL
2026-02-09 08:00:00,2026-02-09 09:00:00,2026-02-09 17:00:00,DOWN,Moderate,trail_stop,8.0,3.2618601076714464,0.6131470798812846,False,-1.0273576367447523,-0.6789731013542855,1205.8633428242954,BEAR
2026-02-09 22:00:00,2026-02-09 23:00:00,2026-02-11 07:00:00,DOWN,Moderate,opp_signal,32.0,3.569599820072932,0.560286895117318,False,5.0443454251274495,2.7814576845345274,1239.4039214382667,CHOPPY
2026-02-11 10:00:00,2026-02-11 11:00:00,2026-02-11 15:00:00,UP,Moderate,trail_stop,4.0,2.8731347674376764,0.6961037897235998,False,0.08074447306336552,0.0005182305207629412,1239.4103444076632,BEAR
2026-02-11 20:00:00,2026-02-11 21:00:00,2026-02-12 16:00:00,DOWN,Moderate,opp_signal,19.0,3.7372668841448076,0.5351504353314753,False,0.6165279244349731,0.2871231523288609,1242.9689784588165,BEAR
2026-02-12 17:00:00,2026-02-12 18:00:00,2026-02-15 08:00:00,UP,Moderate,opp_signal,62.0,3.548059979777928,0.5636883286638179,False,8.259232409251215,4.610537846523743,1300.2765336312098,BEAR
2026-02-15 08:00:00,2026-02-15 09:00:00,2026-02-15 13:00:00,UP,Strong,opp_signal,4.0,2.0822058328283277,0.960519833566759,False,-1.5909358839061416,-1.6049670571102514,1279.4075236150939,CHOPPY
2026-02-15 14:00:00,2026-02-15 15:00:00,2026-02-15 22:00:00,UP,Moderate,opp_signal,7.0,2.2256040994192006,0.8986324209781628,False,-0.4785948489945624,-0.5019714414979171,1272.9852632261704,CHOPPY
2026-02-15 22:00:00,2026-02-15 23:00:00,2026-02-16 05:00:00,UP,Strong,opp_signal,6.0,2.1503910933503025,0.9300633759992032,False,-0.18821905333646916,-0.24946071825342475,1269.8096650452662,CHOPPY
2026-02-16 05:00:00,2026-02-16 06:00:00,2026-02-16 10:00:00,UP,Strong,opp_signal,4.0,2.1898112405018013,0.9133207296632995,False,0.8937806967363571,0.7432427797291474,1279.247433697018,CHOPPY
2026-02-16 10:00:00,2026-02-16 11:00:00,2026-02-16 12:00:00,DOWN,Strong,trail_stop,1.0,1.9116826990210982,1.0,True,-1.239799973096889,-1.3197999730968912,1262.3639264112421,CHOPPY
2026-02-16 12:00:00,2026-02-16 13:00:00,2026-02-16 16:00:00,DOWN,Strong,opp_signal,3.0,2.12101224772518,0.9429459929545586,False,3.2030720124807677,2.9448882398772636,1299.5391332245797,BEAR
2026-02-16 16:00:00,2026-02-16 17:00:00,2026-02-17 14:00:00,UP,Strong,trail_stop,21.0,2.778055907977819,0.7199279158697078,False,-0.752386125311777,-0.5992580083945653,1291.75154089651,BEAR
2026-02-19 04:00:00,2026-02-19 05:00:00,2026-02-19 13:00:00,DOWN,Moderate,opp_signal,8.0,2.1150378805834813,0.9456095412571308,False,0.42979191781540305,0.33076657494086614,1296.0242232250794,CHOPPY
2026-02-19 13:00:00,2026-02-19 14:00:00,2026-02-19 21:00:00,UP,Strong,opp_signal,7.0,2.06128060437404,0.9702706151486593,False,1.8936955756081675,1.7597755218377475,1318.8313402624822,BEAR
2026-02-20 03:00:00,2026-02-20 04:00:00,2026-02-20 12:00:00,DOWN,Moderate,opp_signal,8.0,1.9932686353129125,1.0,True,0.05465844413551357,-0.02534155586448872,1318.497127881631,CHOPPY
2026-02-20 14:00:00,2026-02-20 15:00:00,2026-02-20 16:00:00,UP,Strong,opp_signal,1.0,2.22423244176714,0.8991865968877836,False,0.7523507231158577,0.6045687586335946,1326.4683496002847,CHOPPY
2026-02-20 16:00:00,2026-02-20 17:00:00,2026-02-20 23:00:00,UP,Moderate,opp_signal,6.0,2.567819049092277,0.7788710815534293,False,0.42294342652060557,0.2671087175257325,1330.0114621972868,CHOPPY
2026-02-21 07:00:00,2026-02-21 08:00:00,2026-02-21 15:00:00,UP,Moderate,opp_signal,7.0,1.728075984093589,1.0,True,0.8781940696834356,0.7981940696834444,1340.6275348146557,CHOPPY
2026-02-21 15:00:00,2026-02-21 16:00:00,2026-02-22 16:00:00,DOWN,Moderate,opp_signal,24.0,1.5040768262022914,1.0,True,1.3292694486776613,1.24926944867767,1357.375585027656,CHOPPY
2026-02-22 17:00:00,2026-02-22 18:00:00,2026-02-23 00:00:00,UP,Moderate,trail_stop,6.0,1.3380853873390133,1.0,True,-0.7990806534197037,-0.879080653419706,1345.4431588654352,CHOPPY
2026-02-23 02:00:00,2026-02-23 03:00:00,2026-02-23 04:00:00,UP,Strong,opp_signal,1.0,2.2237972772301857,0.8993625545270328,False,0.23415839672549232,0.13864428948082708,1347.3085389734126,BEAR
2026-02-27 04:00:00,2026-02-27 05:00:00,2026-02-27 09:00:00,UP,Strong,opp_signal,4.0,2.5546389057384546,0.7828895095535515,False,0.27824915705569886,0.1552071853367476,1349.399658634555,CHOPPY
2026-02-27 09:00:00,2026-02-27 10:00:00,2026-02-27 12:00:00,UP,Strong,trail_stop,2.0,2.410185400824642,0.8298116814232227,False,-2.317045793912409,-1.9890966006949173,1322.5587958948663,CHOPPY
2026-02-27 12:00:00,2026-02-27 13:00:00,2026-02-28 01:00:00,UP,Moderate,opp_signal,12.0,2.617670992667793,0.7640379580176747,False,0.00576609385076754,-0.056717522069937854,1321.8086733179168,BEAR
2026-02-28 01:00:00,2026-02-28 02:00:00,2026-02-28 06:00:00,DOWN,Moderate,opp_signal,4.0,2.3010389810795027,0.8691725852735124,False,0.2870079835977979,0.17992566427595946,1324.1869463538414,BEAR
2026-02-28 06:00:00,2026-02-28 07:00:00,2026-03-01 01:00:00,UP,Moderate,trail_stop,18.0,2.837900473011601,0.7047463499935871,False,4.382181269736174,3.0319465468573448,1364.3355867477524,BEAR
2026-03-01 01:00:00,2026-03-01 02:00:00,2026-03-01 04:00:00,UP,Moderate,opp_signal,2.0,3.6764677243634627,0.5440004237617172,False,0.2423055724339207,0.08829430018293394,1365.540217306218,BULL
2026-03-05 04:00:00,2026-03-05 05:00:00,2026-03-08 05:00:00,DOWN,Strong,time_cap,72.0,3.1697059205477296,0.6309733616090155,False,7.788376857033352,4.863780458031464,1431.9570955421182,BULL
2026-03-08 05:00:00,2026-03-08 06:00:00,2026-03-09 03:00:00,DOWN,Moderate,trail_stop,21.0,1.8116082042399835,1.0,True,0.492039399212596,0.4120393992125937,1437.857322955572,CHOPPY
2026-03-15 23:00:00,2026-03-16 00:00:00,2026-03-16 08:00:00,UP,Moderate,trail_stop,8.0,1.9281782937188887,1.0,True,0.3598506377831434,0.2798506377831522,1441.881175844275,CHOPPY
2026-03-17 04:00:00,2026-03-17 05:00:00,2026-03-17 07:00:00,UP,Moderate,opp_signal,2.0,2.8325398362882486,0.7060800961658473,False,-0.21333283021105487,-0.20711647296401958,1438.8948024085344,CHOPPY
2026-03-17 07:00:00,2026-03-17 08:00:00,2026-03-18 16:00:00,DOWN,Strong,opp_signal,32.0,2.6646523784644764,0.7505669468047135,False,3.741268352629201,2.748027008865628,1478.4360202078847,CHOPPY
2026-03-18 16:00:00,2026-03-18 17:00:00,2026-03-19 00:00:00,UP,Moderate,opp_signal,7.0,2.5270568222496856,0.7914345187614424,False,-0.1214765147742769,-0.15945546851211523,1476.0785731252104,CHOPPY
2026-03-19 00:00:00,2026-03-19 01:00:00,2026-03-19 09:00:00,DOWN,Moderate,opp_signal,8.0,2.3780196794069006,0.8410359330999388,False,1.4268000563618544,1.1327072421013495,1492.7982220221058,CHOPPY
2026-03-19 16:00:00,2026-03-19 17:00:00,2026-03-20 17:00:00,UP,Moderate,trail_stop,24.0,2.778601031068767,0.719786675970071,False,-0.018983998330457386,-0.07124736313250946,1491.7346426520262,CHOPPY
2026-03-20 17:00:00,2026-03-20 18:00:00,2026-03-20 22:00:00,UP,Strong,opp_signal,4.0,2.4374282497864046,0.8205369738269273,False,0.7537419127094491,0.5528301501949828,1499.98140151751,CHOPPY
2026-03-21 02:00:00,2026-03-21 03:00:00,2026-03-21 23:00:00,UP,Moderate,trail_stop,20.0,2.1660094117176456,0.9233570219872683,False,-1.6370413379110493,-1.585442176402585,1476.2000637396568,CHOPPY
2026-03-22 08:00:00,2026-03-22 09:00:00,2026-03-22 21:00:00,UP,Strong,trail_stop,12.0,1.7177010022598367,1.0,True,-1.3636986228519055,-1.4436986228519078,1454.8881837489084,CHOPPY
2026-03-22 22:00:00,2026-03-22 23:00:00,2026-03-23 07:00:00,UP,Moderate,trail_stop,8.0,2.005309960854731,0.9973520498285126,False,-1.169457161135845,-1.2461486608317474,1436.758114130522,CHOPPY
2026-03-23 07:00:00,2026-03-23 08:00:00,2026-03-23 12:00:00,UP,Strong,opp_signal,4.0,2.541609170937427,0.7869030466483309,False,2.6224674588871677,2.000675389402562,1465.5029801251758,BEAR
2026-03-23 12:00:00,2026-03-23 13:00:00,2026-03-23 19:00:00,UP,Moderate,opp_signal,6.0,3.2289127628444616,0.6194035413450224,False,0.46740206477160484,0.23995821084390467,1469.0195748561482,BULL
2026-03-23 23:00:00,2026-03-24 00:00:00,2026-03-24 14:00:00,DOWN,Strong,opp_signal,14.0,2.8612595120864532,0.6989928706402392,False,1.1274800327378487,0.7321810750217539,1479.77545817161,BULL
2026-03-24 15:00:00,2026-03-24 16:00:00,2026-03-24 22:00:00,UP,Moderate,opp_signal,6.0,2.557465691672195,0.7820241759303144,False,0.6566663230122227,0.4509670060403925,1486.448757251447,CHOPPY
2026-03-24 23:00:00,2026-03-25 00:00:00,2026-03-26 05:00:00,UP,Strong,trail_stop,29.0,2.5650511425625124,0.7797115491436086,False,-0.472288395129028,-0.4306256401400921,1480.0477277751786,CHOPPY
2026-03-28 01:00:00,2026-03-28 02:00:00,2026-03-29 22:00:00,UP,Moderate,trail_stop,44.0,2.132721299539936,0.937769037347465,False,-0.39875010027536906,-0.44895702066523047,1473.4029495921357,CHOPPY
