feature,ic_2025-11,n_2025-11,ic_2025-12,n_2025-12,ic_2026-01,n_2026-01,ic_2026-02,n_2026-02,ic_2026-03,n_2026-03,ic_2026-04,n_2026-04,early_avg,late_avg,ic_drop,early_signed,late_signed,sign_flip
vol_kurt_non_bear,-0.12671103520836124,720,-0.040198647104956804,744,-0.1572859781220571,744,-0.12862061577396655,672,-0.026850999811949987,744,-0.09959170136107942,300,0.10806522014512505,0.06322135058651471,0.04484386955861035,-0.10806522014512505,-0.06322135058651471,False
cg_oi_close_pctchg_4h,0.028275517506785308,720,0.04751854430045949,744,0.06923614411420789,744,0.008965860976097468,672,-0.007078288898012395,744,0.00524850276114179,300,0.04834340197381756,0.006163395829577092,0.04218000614424047,0.04834340197381756,-0.0009148930684353025,False
cg_funding_range,0.045705534924645866,720,0.07068862230149253,744,0.04427627704780002,744,0.06139257570080787,672,0.006448731741290748,744,-0.018599772552904875,300,0.053556811424646134,0.012524252147097811,0.04103255927754832,0.053556811424646134,-0.006075520405807064,False
tox_div_taker,-0.052936123204970174,720,0.0412292022213824,744,0.11991639075187427,744,0.029524275081847,672,-0.033141768871449984,744,-0.028694096601073343,300,0.07136057205940895,0.030917932736261665,0.04044263932314728,0.0360698232560955,-0.030917932736261665,True
hour_sin,-0.03118604023564444,720,-0.06887400796314784,744,-0.1287792192238802,744,0.04944588463106601,672,0.0490293918178799,744,-0.03413678550631014,300,0.07627975580755748,0.04158308866209502,0.03469666714546246,-0.07627975580755748,0.007446303155784879,False
realized_vol_20b,0.1758501656060293,720,0.1245138795606071,744,0.10054293271078528,744,0.2015066206781794,672,0.12355569787963987,744,0.07580706452293913,300,0.1336356592924739,0.0996813812012895,0.0339542780911844,0.1336356592924739,0.0996813812012895,False
cg_conviction,0.08307934621787463,720,0.11255974430617058,744,0.07318950312609543,744,0.051671959687208266,672,0.0288096710963581,744,0.08449560550672786,300,0.08960953121671356,0.056652638301542976,0.03295689291517058,0.08960953121671356,0.056652638301542976,False
tox_bv_vpin_zscore,-0.07821153847390394,720,0.044412204607512364,744,0.06710756699535567,744,0.04388779502961171,672,-0.05953040239609525,744,0.002056911743463816,300,0.06324377002559066,0.03079365706977953,0.03245011295581113,0.011102744376321362,-0.02873674532631572,False
price_impact,-0.061235296878787704,720,-0.01068621414795288,744,-0.13073008467279368,744,-0.007760675857404476,672,-0.001594910366422032,744,0.07073411926799186,300,0.06755053189984477,0.03616451481720695,0.031386017082637815,-0.06755053189984477,0.03456960445078491,True
fragility_zscore,-0.0766996399813014,720,-0.09861919737569412,744,-0.11640164957369309,744,-0.04820119288306754,672,-0.055836402803447746,744,0.0772244136045956,300,0.09724016231022954,0.06653040820402167,0.030709754106207868,-0.09724016231022954,0.010694005400573928,False
taker_delta_ma_24h,-0.20309909291234485,720,0.0108756418060227,744,-0.10245964573152556,744,-0.1566126429534707,672,0.12639894845941788,744,0.0255678396426627,300,0.10547812681663105,0.07598339405104029,0.029494732765590753,-0.09822769894594924,0.07598339405104029,True
cg_taker_delta_mom_1h,-0.02623558301617094,720,0.0038547552286375226,744,-0.07316295819508456,744,0.010875907640455908,672,-0.016618000959813424,744,-0.006493849931665907,300,0.03441776547996434,0.011555925445739666,0.022861840034224677,-0.03184792866087266,-0.011555925445739666,False
cg_taker_delta_slope_4h,0.013558732430682414,720,-0.04318362011668697,744,-0.05627435045777623,744,0.0259622024870606,672,-0.008442686696677104,744,0.023977599751108344,300,0.037672234335048536,0.016210143223892724,0.021462091111155813,-0.02863307938126026,0.00776745652721562,False
hour_cos,-0.16759603541558168,720,-0.16571342887030266,744,-0.10918766409678009,744,-0.2159297213116134,672,-0.08664302219291631,744,-0.16863079194069355,300,0.1474990427942215,0.12763690706680492,0.019862135727416574,-0.1474990427942215,-0.12763690706680492,False
cg_funding_close_zscore,0.04629918171653831,720,0.05223998933074358,744,0.0029728000119118333,744,-0.043945805248267925,672,0.0077433690849749584,744,0.022067800753341704,300,0.033837323686397906,0.01490558491915833,0.018931738767239574,0.033837323686397906,0.01490558491915833,False
