ts,fill_bar,fill_price,exit_price,filled,blocked,bars_held,exit_reason,gross_ret,net_ret,win,equity_after,drawdown_after,block_reason
2026-01-18 21:00:00,2026-01-18 22:00:00,95386.4,94909.468,True,False,1.0,tp,0.0050000000000000044,0.004500000000000004,1.0,1062.9500415321445,0.0,
2026-01-18 22:00:00,2026-01-18 23:00:00,95442.9,94965.68549999999,True,False,1.0,tp,0.0050000000000000044,0.004500000000000004,1.0,1070.9221668436355,0.0,
2026-01-20 15:00:00,2026-01-20 16:00:00,90644.2,90190.97899999999,True,False,1.0,tp,0.0050000000000000044,0.004500000000000004,1.0,1078.9540830949627,0.0,
2026-02-18 17:00:00,2026-02-18 18:00:00,67156.3,66820.5185,True,False,1.0,tp,0.0050000000000000044,0.004500000000000004,1.0,1087.046238718175,0.0,
2026-02-19 03:00:00,2026-02-19 04:00:00,66950.4,67151.25119999998,True,False,2.0,sl,-0.0029999999999998916,-0.0034999999999998917,0.0,1080.7051356589857,0.0058333333333332,
2026-02-19 04:00:00,2026-02-19 05:00:00,66776.4,66976.72919999999,True,False,1.0,sl,-0.0029999999999998916,-0.0034999999999998917,0.0,1074.4010223676419,0.011632638888888505,
2026-02-21 01:00:00,2026-02-21 02:00:00,67916.1,67576.51950000001,True,False,1.0,tp,0.004999999999999893,0.004499999999999893,1.0,1082.4590300353989,0.004219883680555449,
2026-02-21 02:00:00,2026-02-21 03:00:00,67970.3,67630.4485,True,False,1.0,tp,0.0050000000000001155,0.004500000000000115,1.0,1090.5774727606645,0.0,
2026-02-21 18:00:00,2026-02-21 19:00:00,68547.2,68204.46399999999,True,False,1.0,tp,0.0050000000000001155,0.004500000000000115,1.0,1098.7568038063696,0.0,
2026-02-21 19:00:00,2026-02-21 20:00:00,68516.3,68173.7185,True,False,1.0,tp,0.0050000000000000044,0.004500000000000004,1.0,1106.9974798349174,0.0,
2026-02-24 08:00:00,2026-02-24 09:00:00,63357.2,63040.414,True,False,2.0,tp,0.0050000000000000044,0.004500000000000004,1.0,1115.2999609336794,0.0,
2026-02-24 09:00:00,2026-02-24 10:00:00,63213.3,62897.2335,True,False,3.0,tp,0.0050000000000000044,0.004500000000000004,1.0,1123.664710640682,0.0,
2026-02-24 11:00:00,2026-02-24 12:00:00,63192.2,62876.238999999994,True,False,1.0,tp,0.0050000000000000044,0.004500000000000004,1.0,1132.0921959704872,0.0,
2026-02-24 12:00:00,2026-02-24 13:00:00,62936.0,63124.80799999999,True,False,1.0,sl,-0.0029999999999998916,-0.0034999999999998917,0.0,1125.4883248273263,0.005833333333333054,
2026-02-24 17:00:00,2026-02-24 18:00:00,64188.8,64381.3664,True,False,1.0,sl,-0.0029999999999998916,-0.0034999999999998917,0.0,1118.9229762658338,0.011632638888888451,
2026-02-24 19:00:00,2026-02-24 20:00:00,64405.4,64083.373,True,False,1.0,tp,0.0050000000000000044,0.004500000000000004,1.0,1127.3148985878274,0.004219883680555196,
2026-03-27 23:00:00,2026-03-28 00:00:00,66364.2,66032.379,True,False,1.0,tp,0.004999999999999893,0.004499999999999893,1.0,1135.7697603272359,0.0,
2026-03-28 00:00:00,2026-03-28 01:00:00,66389.9,66057.95049999999,True,False,1.0,tp,0.0050000000000000044,0.004500000000000004,1.0,1144.2880335296902,0.0,
2026-03-28 06:00:00,2026-03-28 07:00:00,66358.2,66557.27459999999,True,False,6.0,sl,-0.0029999999999998916,-0.0034999999999998917,0.0,1137.6130200007672,0.005833333333333204,
2026-04-21 05:00:00,2026-04-21 06:00:00,75760.8,75988.0824,True,False,1.0,sl,-0.0029999999999998916,-0.0034999999999998917,0.0,1130.976944050763,0.011632638888888493,
2026-04-22 01:00:00,2026-04-22 02:00:00,76267.3,76496.1019,True,False,1.0,sl,-0.0029999999999998916,-0.0034999999999998917,0.0,1124.3795785438003,0.017398115162036536,
2026-04-23 21:00:00,2026-04-23 22:00:00,77819.6,78053.0588,True,False,1.0,sl,-0.0029999999999998916,-0.0034999999999998917,0.0,1117.8206976689617,0.023129959490257854,
2026-04-24 02:00:00,2026-04-24 03:00:00,78074.0,77683.63,True,False,1.0,tp,0.004999999999999893,0.004499999999999893,1.0,1126.2043529014786,0.015803434186435008,
2026-04-25 03:00:00,2026-04-25 04:00:00,77629.0,77518.3,True,False,8.0,timeout,0.0014260134743458996,0.0009260134743458996,1.0,1127.9424869109016,0.014284468717521107,
2026-04-25 11:00:00,2026-04-25 12:00:00,77638.7,77250.5065,True,False,4.0,tp,0.004999999999999893,0.004499999999999893,1.0,1136.4020555627333,0.0068916022329026045,
