thr_long,thr_short,n_long,n_short,n_total,long_wr,short_wr,combined_wr,fire_rate
0.0025,0.0012,66,190,256,0.7272727272727273,0.7473684210526316,0.7421875,0.06926406926406926
0.0025,0.0015,66,112,178,0.7272727272727273,0.7678571428571429,0.7528089887640449,0.04816017316017316
0.0025,0.002,66,53,119,0.7272727272727273,0.7547169811320755,0.7394957983193278,0.032196969696969696
0.0025,0.0025,66,29,95,0.7272727272727273,0.8275862068965517,0.7578947368421053,0.025703463203463204
0.0025,0.003,66,10,76,0.7272727272727273,1.0,0.7631578947368421,0.020562770562770564
0.003,0.0003,41,1174,1215,0.7804878048780488,0.5945485519591142,0.6008230452674898,0.3287337662337662
0.003,0.0005,41,612,653,0.7804878048780488,0.6699346405228758,0.6768759571209801,0.17667748917748918
0.003,0.0008,41,390,431,0.7804878048780488,0.6974358974358974,0.7053364269141531,0.11661255411255411
0.003,0.001,41,290,331,0.7804878048780488,0.7103448275862069,0.7190332326283988,0.08955627705627706
0.003,0.0012,41,190,231,0.7804878048780488,0.7473684210526316,0.7532467532467533,0.0625
0.003,0.0015,41,112,153,0.7804878048780488,0.7678571428571429,0.7712418300653595,0.041396103896103896
0.003,0.002,41,53,94,0.7804878048780488,0.7547169811320755,0.7659574468085106,0.025432900432900432
0.003,0.0025,41,29,70,0.7804878048780488,0.8275862068965517,0.8,0.01893939393939394
0.003,0.003,41,10,51,0.7804878048780488,1.0,0.8235294117647058,0.013798701298701298
