feature,cond_ic,raw_ic,abs_cond_ic,frac_fold_consist,n_folds,nonzero_frac,n,max_corr_deployed,family,pass_cond_ic,pass_consist,pass_notredundant,pass_notsparse,SCREEN_PASS
fg_delta_7d,0.015828491357003965,0.008143247018851408,0.015828491357003965,0.5869565217391305,46,0.961038961038961,3696,0.28638852444047785,fg,False,False,True,True,False
tox_pressure,0.014764279731742286,-0.02286020231811044,0.014764279731742286,0.5194805194805194,77,1.0,3696,0.7516481979633721,tox,False,False,True,True,False
init_funding_d1,-0.01436318981327915,0.010343407606831499,0.01436318981327915,0.5714285714285714,77,0.9770021645021645,3696,0.9083982516553716,init,False,False,False,True,False
avg_trade_notional_zscore,-0.013292581891907022,-0.0005473334410449424,0.013292581891907022,0.4935064935064935,77,1.0,3696,0.5228029081335881,avg,False,False,True,True,False
dfp_spot_lead_ratio,-0.012579282707268399,0.010639978488375522,0.012579282707268399,0.5324675324675324,77,1.0,3696,0.5308092316907497,dfp,False,False,True,True,False
body_ratio,0.012306137939345275,0.021409973278986773,0.012306137939345275,0.5454545454545454,77,1.0,3696,0.8749997690977339,body,False,False,True,True,False
cg_liq_short_cum_8h,0.011967283229008564,-0.017364498566905206,0.011967283229008564,0.44155844155844154,77,1.0,3696,0.5112905188471881,cg,False,False,True,True,False
imb_sign_persistence,0.01070610762884484,-0.0004131424780031314,0.01070610762884484,0.4805194805194805,77,1.0,3696,0.10385983048455859,imb,False,False,True,True,False
cg_liq_surge,-0.010450138962345212,0.013194693257523545,0.010450138962345212,0.4935064935064935,77,1.0,3636,0.8451248071368518,cg,False,False,True,True,False
init_oi_close_corr_12h,-0.00948810329491663,0.02756077612652248,0.00948810329491663,0.5064935064935064,77,1.0,3696,0.2054273961491092,init,False,False,True,True,False
large_bar_delta_zscore,0.009232211854062696,-0.00186320775484909,0.009232211854062696,0.6883116883116883,77,1.0,3696,0.8337825483054904,large,False,True,True,True,False
dfp_pos_ls_sign_streak,-0.008521009737625835,-0.002628176388609629,0.008521009737625835,0.5324675324675324,77,0.4107142857142857,3696,0.3036849200497938,dfp,False,False,True,True,False
sell_flow_price_impact,0.008406001924092138,0.012263616383411875,0.008406001924092138,0.5194805194805194,77,1.0,3537,0.4389521786521728,sell,False,False,True,True,False
small_bar_delta,-0.00756872562676294,-0.024651922022180982,0.00756872562676294,0.5064935064935064,77,0.5005411255411255,3696,0.5943645322946048,small,False,False,True,True,False
init_funding_d2,-0.0068462740904352195,0.00272813911687826,0.0068462740904352195,0.5194805194805194,77,0.9829545454545454,3696,0.32068032467142377,init,False,False,True,True,False
absorption_zscore,-0.006806044297365022,7.531501902280535e-05,0.006806044297365022,0.5324675324675324,77,1.0,3696,0.6219283090556218,absorption,False,False,True,True,False
absorption_net_zscore,-0.006806044297365022,7.531501902280535e-05,0.006806044297365022,0.5324675324675324,77,1.0,3696,0.6219283090556218,absorption,False,False,True,True,False
