exit_ts,entry_ts,side,tier,exit_reason,bars_held,net_bps,gross_bps,win,regret_4h_bps,regret_12h_bps,regret_24h_bps
2026-03-30 17:00:00,2026-03-29 22:00:00,LONG,Strong,trail_stop,19,160.9090784069003,168.90907840690028,True,-24.123657660944854,107.09894916715427,83.94113969618122
2026-03-31 05:00:00,2026-03-30 18:00:00,LONG,Strong,opp_signal,11,146.3516569949821,154.3516569949821,True,-229.06506979418606,-22.91241986196376,113.71951354715345
2026-03-31 09:00:00,2026-03-31 06:00:00,SHORT,Moderate,opp_signal,3,194.48897953617617,202.48897953617617,True,-174.93377388262854,-323.0442682448986,-379.59554791049095
2026-03-31 13:00:00,2026-03-31 10:00:00,LONG,Strong,opp_signal,3,131.6364206520806,139.6364206520806,True,35.43199376706004,72.9753358828095,124.27217956571472
2026-03-31 21:00:00,2026-03-31 14:00:00,LONG,Moderate,opp_signal,7,244.2240702927925,252.22407029279248,True,-71.5472795326728,54.781591743776374,13.204444665901354
2026-04-01 06:00:00,2026-04-01 04:00:00,LONG,Strong,opp_signal,2,108.70911921819015,116.70911921819015,True,-75.8660529817241,-146.9398037617413,-349.8235824703104
2026-04-02 03:00:00,2026-04-01 08:00:00,SHORT,Moderate,opp_signal,19,296.8776933971353,304.8776933971353,True,-52.52606013970881,-40.90870835487653,-1.743354213507662
2026-04-06 09:00:00,2026-04-06 05:00:00,SHORT,Moderate,trail_stop,4,-103.99367999506559,-95.99367999506558,False,61.75768255588102,50.77403151152736,103.28648050715458
2026-04-06 16:00:00,2026-04-06 10:00:00,SHORT,Moderate,trail_stop,6,-90.07558148155769,-82.07558148155769,False,75.69001785660296,212.2393435007872,299.2946942213441
2026-04-06 22:00:00,2026-04-06 18:00:00,SHORT,Moderate,opp_signal,4,146.0093539423548,154.00935394235483,True,19.890341407242076,84.49033181102514,-392.97964002553005
2026-04-07 07:00:00,2026-04-07 01:00:00,LONG,Moderate,opp_signal,6,25.38019042213869,33.38019042213869,True,-41.01055369350156,55.95396554413531,440.26936046570876
2026-04-07 16:00:00,2026-04-07 08:00:00,SHORT,Moderate,opp_signal,8,93.57153616971337,101.57153616971337,True,-158.04783072754785,-486.95738866278174,-491.69295910109156
2026-04-08 02:00:00,2026-04-07 17:00:00,LONG,Moderate,trail_stop,9,376.73476452883125,384.73476452883125,True,54.06194112527602,-59.4533577532192,-39.58292186553243
2026-04-08 14:00:00,2026-04-08 03:00:00,LONG,Moderate,trail_stop,11,-37.79469917916866,-29.79469917916866,False,2.4794522084416264,-2.4749947367832044,5.097427014726237
2026-04-15 22:00:00,2026-04-14 18:00:00,SHORT,Moderate,trail_stop,28,-178.19644229321784,-170.19644229321784,False,62.34268435521045,138.42788977611005,63.258893635149136
2026-04-17 13:00:00,2026-04-16 13:00:00,LONG,Moderate,opp_signal,24,471.7446712737563,479.7446712737563,True,22.12323547790717,-15.318076494645625,-157.03615919932037
2026-04-20 07:00:00,2026-04-17 14:00:00,SHORT,Moderate,trail_stop,65,286.59598598308713,294.59598598308713,True,50.79989168326794,-95.33606382308199,-68.52637820065421
2026-04-22 07:00:00,2026-04-22 05:00:00,SHORT,Strong,opp_signal,2,-11.25831511755803,-3.2583151175580305,False,-36.34274517246699,-104.0654118117769,-3.7573833223479554
2026-04-23 12:00:00,2026-04-22 10:00:00,SHORT,Moderate,opp_signal,26,29.251433092073682,37.25143309207368,True,-28.55057640812639,-70.65689454018334,-52.19281789820436
2026-04-23 17:00:00,2026-04-23 13:00:00,LONG,Moderate,trail_stop,4,-52.746173091251286,-44.746173091251286,False,88.10261013507784,99.95120070308754,65.41657786591122
2026-04-26 05:00:00,2026-04-23 19:00:00,SHORT,Moderate,opp_signal,58,-43.90809895648751,-35.9080989564875,False,-2.8736590660106085,-3.502271986699437,28.069491234055477
2026-04-26 22:00:00,2026-04-26 06:00:00,LONG,Moderate,trail_stop,16,32.79265957355194,40.79265957355194,True,102.40862916994793,-60.618951919600626,-160.37466268031824
2026-04-27 05:00:00,2026-04-26 23:00:00,LONG,Strong,trail_stop,6,-52.76398517344827,-44.76398517344826,False,-51.8127246186649,-199.24135870558953,-180.62430896866422
2026-04-27 15:00:00,2026-04-27 06:00:00,LONG,Moderate,trail_stop,9,-124.36257618681923,-116.36257618681923,False,11.74492974533161,2.1298273329881092,-94.64656930508652
2026-04-28 13:00:00,2026-04-27 16:00:00,LONG,Strong,trail_stop,21,-76.37828716411143,-68.37828716411143,False,11.831444485739922,61.88126748848556,89.98910084279933
