,A_swing_high_dist_4h,A_swing_low_dist_4h,A_swing_high_dist_24h,A_swing_low_dist_24h,A_swing_high_dist_48h,A_swing_low_dist_48h,A_swing_high_dist_168h,A_swing_low_dist_168h,B_vpoc_dist_24h,C_round_1k_dist_pct,C_round_500_dist_pct,D_avwap_dist_48h,E_liq_z_4h_vs_7d,E_liq_asym_4h,F_bull_sweep_mag,F_bear_sweep_mag,G_depth_imb_4h_mean,G_near_imb_4h_mean,G_depth_imb_24h_z,H_tr_atr24_ratio,H_vacuum_bar
C_round_500_dist_pct,0.06525156012396517,-0.057076029161519416,0.006745075904896267,-0.0018435905845366257,0.006405113528021635,0.02567259353976099,-0.053633407138225515,0.03958765044620176,,0.07850395373051047,1.0,0.01998521451041597,-0.026781097263327423,0.016900648902269732,-0.0042425752017720255,-0.001371545156390809,0.02970482682299438,0.028788505181651367,-0.006936466139877252,0.01121310626449173,-0.02471580309109324
D_avwap_dist_48h,-0.15903139603918498,0.28398138470887346,-0.6598323267734781,0.7747704320797445,-0.8325384032155456,0.8911263368261533,-0.6819479289201189,0.6140443366075597,,-0.016194176781072076,0.01998521451041597,1.0,0.1569538946916895,-0.41022017748454925,-0.24631407556541718,0.23618580733052436,-0.01295693105708403,-0.010241373826379869,-0.015100225518507914,0.04658613310571696,0.009419594350486109
E_liq_z_4h_vs_7d,0.3517250608464038,0.3507464885335187,0.11677935103041635,0.24557211083698974,-0.009062944754482851,0.17311372509587275,-0.12867321900446482,0.07236497484135485,,-0.017584476267052715,-0.026781097263327423,0.1569538946916895,1.0,0.0605625708282796,0.07038698572755157,0.06473796979105989,-0.09134602152731154,-0.08775358505421968,-0.024656991365572412,0.13775573940254618,-0.032340844658898846
E_liq_asym_4h,0.17472450363868366,-0.04842955772796335,0.46649449118255815,-0.41355706426061295,0.38496648008637196,-0.36323534731109264,0.2388579532950571,-0.19534833435360782,,-0.00805164276644278,0.016900648902269732,-0.41022017748454925,0.0605625708282796,1.0,0.21164285185494364,-0.1556734922982466,0.0344122553528435,0.041651153833419746,0.010851882064748313,0.02603563901964921,-0.00950177675227663
F_bull_sweep_mag,0.22572423743593104,-0.04448287002306381,0.23553913872636462,-0.27941742024520155,0.2149947842471893,-0.24128048089448473,0.12777050666386164,-0.15065756759074142,,-0.007065080733563462,-0.0042425752017720255,-0.24631407556541718,0.07038698572755157,0.21164285185494364,1.0,-0.05084194545573156,-0.06971199955470148,-0.060244376537832,0.04371488879046841,0.18616762031361228,0.016555255411715177
F_bear_sweep_mag,-0.003943849333726459,0.18914479515796148,-0.2431630328520482,0.2054993966499421,-0.237543251152548,0.16538400877668366,-0.13123558401173882,0.11300108044107417,,0.033188483359739916,-0.001371545156390809,0.23618580733052436,0.06473796979105989,-0.1556734922982466,-0.05084194545573156,1.0,0.020175871636230146,0.009986207677205126,-0.02735512895212811,0.19261898145512216,0.0077586379242068175
G_depth_imb_4h_mean,-0.04245019389447296,0.03899271384946719,-0.008475704241668207,-0.041155866635339454,-0.002048250479810785,-0.028061132007266863,0.09367754714246432,-0.00262906420765755,,0.0035670381572349267,0.02970482682299438,-0.01295693105708403,-0.09134602152731154,0.0344122553528435,-0.06971199955470148,0.020175871636230146,1.0,0.9805044907704293,0.4797967707495493,0.014191722834206284,0.01626241180705271
G_near_imb_4h_mean,-0.04995801934498279,0.03244276813749763,-0.004503440095722076,-0.03942693453274956,-0.005586509089720346,-0.03729269555932721,0.08910450730935374,0.019385769022374277,,-0.0038225366451783848,0.028788505181651367,-0.010241373826379869,-0.08775358505421968,0.041651153833419746,-0.060244376537832,0.009986207677205126,0.9805044907704293,1.0,0.4718578489985242,0.00632260898210168,0.006710666428385313
G_depth_imb_24h_z,-0.06823097948990227,0.036052834976759894,-0.0081686309606887,-0.056536103824845696,0.005446653266013517,-0.04402898742573645,0.043078330953493844,-0.011631775327546208,,-0.040750245677283824,-0.006936466139877252,-0.015100225518507914,-0.024656991365572412,0.010851882064748313,0.04371488879046841,-0.02735512895212811,0.4797967707495493,0.4718578489985242,1.0,0.004053140016681271,0.06259549686129603
H_tr_atr24_ratio,0.26281323679781604,0.24392060229357568,-0.0912592129407967,-0.028202893876516085,-0.07489911784462071,-0.014809017894277951,-0.022703743469713045,0.007699222260868696,,-0.03591096915182231,0.01121310626449173,0.04658613310571696,0.13775573940254618,0.02603563901964921,0.18616762031361228,0.19261898145512216,0.014191722834206284,0.00632260898210168,0.004053140016681271,1.0,0.2846019265737997
H_vacuum_bar,0.030100376374484265,0.06399830477719788,-0.042522822668858776,-0.0022598974970506553,-0.009741998260220213,0.020962890375758107,-0.023442077050148006,0.003969466953138538,,-0.027772504340017996,-0.02471580309109324,0.009419594350486109,-0.032340844658898846,-0.00950177675227663,0.016555255411715177,0.0077586379242068175,0.01626241180705271,0.006710666428385313,0.06259549686129603,0.2846019265737997,1.0
