era,feature,h,n,ic_all,mo_mean_ic,n_months,mo_sign_share,halves_agree,top5_net_bps,top5_ci_lo
B_flow90d,dz_5,30,92717,-0.0019,-0.0033,3,0.67,False,-8.21,-9.55
B_flow90d,ret_5,30,92189,-0.0184,-0.0209,3,1.0,True,-7.86,-9.37
B_flow90d,ti_15,30,92707,-0.0092,-0.0082,3,1.0,False,-8.25,-8.87
B_flow90d,dz_15,30,92707,-0.0133,-0.0117,3,1.0,False,-7.35,-8.6
B_flow90d,ret_15,30,92028,-0.0286,-0.0277,3,1.0,True,-8.56,-10.23
B_flow90d,ti_60,30,92662,-0.0233,-0.0195,3,1.0,True,-7.98,-8.81
B_flow90d,dz_60,30,92662,-0.0316,-0.0257,3,1.0,True,-5.4,-6.6
B_flow90d,ret_60,30,91559,-0.0317,-0.0268,3,1.0,True,-3.4,-4.95
B_flow90d,vshock_60,30,92662,0.0044,0.0069,3,0.67,True,-6.9,-7.84
B_flow90d,obi,30,92721,0.0152,0.0146,3,1.0,True,-7.25,-8.14
B_flow90d,liq_z15,30,92721,0.0085,0.0134,3,0.67,True,-6.68,-7.88
B_flow90d,liq_dir15,30,92721,-0.0092,-0.0064,3,0.67,True,-6.38,-7.08
B_flow90d,ti_5,60,92433,-0.0003,0.0005,3,0.67,False,-8.15,-9.02
B_flow90d,dz_5,60,92433,-0.0063,-0.0068,3,1.0,True,-5.64,-7.22
B_flow90d,ret_5,60,91909,-0.0192,-0.0197,3,1.0,True,-5.28,-7.32
B_flow90d,ti_15,60,92423,-0.0143,-0.013,3,1.0,True,-9.4,-10.32
B_flow90d,dz_15,60,92423,-0.0225,-0.0216,3,1.0,True,-4.52,-6.17
B_flow90d,ret_15,60,91777,-0.0318,-0.0307,3,1.0,True,-5.62,-7.49
B_flow90d,ti_60,60,92378,-0.0307,-0.0247,3,0.67,True,-10.02,-11.21
B_flow90d,dz_60,60,92378,-0.0384,-0.0323,3,1.0,True,-5.18,-6.89
B_flow90d,ret_60,60,91318,-0.0421,-0.0412,3,1.0,True,-1.78,-3.88
B_flow90d,vshock_60,60,92378,-0.0028,-0.0,3,0.33,False,-7.99,-9.39
B_flow90d,obi,60,92437,0.0102,0.0097,3,1.0,True,-7.1,-8.6
B_flow90d,liq_z15,60,92437,0.0052,0.0144,3,1.0,False,-6.55,-7.99
B_flow90d,liq_dir15,60,92437,0.0056,0.0083,3,0.67,False,-8.76,-9.77
B_flow90d,ti_5,120,92063,-0.0041,0.0009,3,0.67,False,,
B_flow90d,dz_5,120,92063,-0.0085,-0.0055,3,0.67,True,,
B_flow90d,ret_5,120,91519,-0.0168,-0.0171,3,1.0,True,,
B_flow90d,ti_15,120,92053,-0.0125,-0.0075,3,0.33,True,,
B_flow90d,dz_15,120,92053,-0.0186,-0.0159,3,1.0,True,,
B_flow90d,ret_15,120,91360,-0.0297,-0.0312,3,1.0,True,,
B_flow90d,ti_60,120,92009,-0.0292,-0.0282,3,0.67,True,,
B_flow90d,dz_60,120,92009,-0.0391,-0.0405,3,1.0,True,,
B_flow90d,ret_60,120,90921,-0.0437,-0.051,3,1.0,True,,
B_flow90d,vshock_60,120,92009,0.005,0.0005,3,0.33,False,,
B_flow90d,obi,120,92067,0.0062,0.005,3,0.67,True,,
B_flow90d,liq_z15,120,92067,0.0198,0.0319,3,1.0,True,,
B_flow90d,liq_dir15,120,92067,0.0022,-0.004,3,0.33,False,,
B_flow90d,ti_5,240,91625,-0.0044,-0.0027,3,0.67,True,,
B_flow90d,dz_5,240,91625,-0.0083,-0.0087,3,1.0,True,,
B_flow90d,ret_5,240,91079,-0.0168,-0.0183,3,1.0,True,,
B_flow90d,ti_15,240,91615,-0.0197,-0.0192,3,1.0,True,,
B_flow90d,dz_15,240,91615,-0.0241,-0.026,3,1.0,True,,
B_flow90d,ret_15,240,90918,-0.035,-0.0361,3,1.0,True,,
B_flow90d,ti_60,240,91570,-0.0361,-0.039,3,1.0,True,,
B_flow90d,dz_60,240,91570,-0.0413,-0.0474,3,1.0,True,,
B_flow90d,ret_60,240,90490,-0.0614,-0.0618,3,1.0,True,,
B_flow90d,vshock_60,240,91570,0.003,0.0035,3,0.67,False,,
B_flow90d,obi,240,91629,0.0071,0.0061,3,0.67,True,,
B_flow90d,liq_z15,240,91629,-0.0033,0.0103,3,0.67,False,,
B_flow90d,liq_dir15,240,91629,0.0111,-0.0027,3,0.33,False,,
